"place"
"7km SSE of Ciudad Tecun Uman, Guatemala"
"81km SSW of Atka, Alaska"
"Izu Islands, Japan region"
"187km WSW of Bella Bella, Canada"
"Kepulauan Barat Daya, Indonesia"
"101km SW of Atka, Alaska"
"292km NW of Raoul Island, New Zealand"
"18km WNW of San Marcos, Mexico"
"Southwest Indian Ridge"
"29km SE of Blenheim, New Zealand"
"101km WSW of Mutis, Colombia"
"96km WSW of Paita, Peru"
"116km NW of L'Esperance Rock, New Zealand"
"199km NE of Bristol Island, South Sandwich Islands"
"58km ENE of Luganville, Vanuatu"
"244km WNW of Marion Island, Prince Edward Islands"
"46km ESE of Blenheim, New Zealand"
"218km SSE of Bristol Island, South Sandwich Islands"
"29km NE of Kandrian, Papua New Guinea"
"115km ENE of Taron, Papua New Guinea"
"81km SSE of Panguna, Papua New Guinea"
"55km S of Bireun, Indonesia"
"Northern Mid-Atlantic Ridge"
"46km W of Masachapa, Nicaragua"
"61km S of Pirgos, Greece"
"177km ENE of Flying Fish Cove, Christmas Island"
"91km SSE of Lata, Solomon Islands"
"25km SE of Buli, Taiwan"
"Sea of Okhotsk"
"Sea of Okhotsk"
"86km NW of Nuku`alofa, Tonga"
"282km SW of Vaini, Tonga"
"122km SE of Petropavlovsk-Kamchatskiy, Russia"
"Off the coast of Aisen, Chile"
"140km SE of Petropavlovsk-Kamchatskiy, Russia"
"40km W of Agrihan, Northern Mariana Islands"
"140km WNW of Neiafu, Tonga"
"94km SE of Minab, Iran"
"118km WNW of Raoul Island, New Zealand"
"31km N of Rabaul, Papua New Guinea"
"Izu Islands, Japan region"
"97km SE of Severo-Kuril'sk, Russia"
"56km WSW of Linqiong, China"
"135km SE of Severo-Kuril'sk, Russia"
"251km ENE of Kuril'sk, Russia"
"23km ESE of Aitape, Papua New Guinea"
"83km E of Khash, Iran"
"98km W of Panguna, Papua New Guinea"
"89km SE of Bandar Bushehr, Iran"
"240km E of Enarotali, Indonesia"
"9km N of Zarubino, Russia"
"6km ENE of Santa Catarina Pinula, Guatemala"
"167km NW of Ceva-i-Ra, Fiji"
"32km E of Finschhafen, Papua New Guinea"
"89km SE of Ozernovskiy, Russia"
"93km SE of Ozernovskiy, Russia"
"84km SE of Ozernovskiy, Russia"
"23km ESE of Suncho Corral, Argentina"
"16km SE of Caburan, Philippines"
"135km WSW of Druzhina, Russia"
"25km S of Lata, Solomon Islands"
"2km N of Yacuanquer, Colombia"
"31km SE of Lata, Solomon Islands"
"21km SSE of Lata, Solomon Islands"
"36km SSW of Lata, Solomon Islands"
"144km W of Lata, Solomon Islands"
"27km NNW of Lata, Solomon Islands"
"114km WSW of Lata, Solomon Islands"
"76km W of Lata, Solomon Islands"
"19km SSW of Obihiro, Japan"
"66km SW of Lata, Solomon Islands"
"53km WSW of Lata, Solomon Islands"
"60km E of Lata, Solomon Islands"
