"","X","t","pd","Country","Mag","R","PR","S","n1","pdr"
"1327",1327,47,0.999959751576023,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.988868464967782
"1328",1328,48,0.999967548640329,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.989884382500377
"1329",1329,49,0.999973835230292,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.990807582502996
"1330",1330,50,0.999978903960239,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.991646526824252
"1331",1331,51,0.99998299075824,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.992408905043676
"1332",1332,52,0.999986285847555,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.993101704952709
"1333",1333,53,0.999988942600738,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.993731276603275
"1334",1334,54,0.999991084678479,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.994303390510952
"1335",1335,55,0.999992811785489,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.994823290546259
"1336",1336,56,0.999994204311339,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.99529574199882
"1337",1337,57,0.99999532707225,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.995725075254963
"1338",1338,58,0.999996232328023,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.99611522548909
"1339",1339,59,0.999996962214508,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.996469768732622
"1340",1340,60,0.999997550704851,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.99679195465112
"1341",1341,61,0.999998025190803,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.997084736330004
"1342",1342,62,0.999998407757691,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.997350797341887
"1343",1343,63,0.999998716212394,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.997592576343614
"1344",1344,64,0.999998964912182,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.997812289428451
"1345",1345,65,0.999999165432985,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.998011950438316
"1346",1346,66,0.999999327108202,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.998193389422207
"1347",1347,67,0.999999457463135,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.998358269410029
"1348",1348,68,0.999999562565259,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.998508101655566
"1349",1349,69,0.999999647306634,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.998644259488297
"1350",1350,70,0.999999715631616,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.998767990901036
"1351",1351,71,0.999999770720446,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.998880429988757
"1352",1352,72,0.999999815137277,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.998982607343461
"1353",1353,73,0.999999850949525,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.999075459500358
"1354",1354,74,0.9999998798241,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.999159837521939
"1355",1355,75,0.999999903104992,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.999236514798633
"1356",1356,76,0.999999921875829,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.999306194137529
"1357",1357,77,0.999999937010314,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.999369514204156
"1358",1358,78,0.999999949212895,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.999427055376348
