"","time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource","country"
"212136","1977-02-19T03:19:06.800Z",11.647,-86.937,33,5.3,"mb",NA,NA,NA,NA,"us","usp0000mmb","2014-11-06T23:21:39.901Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"212741","1976-12-09T12:50:55.900Z",12.338,-87.866,77,4.8,"mb",NA,NA,NA,NA,"us","usp0000kpp","2014-11-06T23:21:38.535Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"213025","1976-11-07T05:03:50.400Z",11.693,-87.52,54,5.3,"ms",NA,NA,NA,NA,"us","usp0000k7w","2014-11-06T23:21:38.119Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"213182","1976-10-22T04:04:24.100Z",12.553,-87.852,59,4.9,"mb",NA,NA,NA,NA,"us","usp0000jzn","2014-11-06T23:21:37.815Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"213407","1976-09-23T21:56:06.800Z",11.276,-86.785,71,4.6,"mb",NA,NA,NA,NA,"us","usp0000jjv","2014-11-06T23:21:37.473Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"213480","1976-09-15T20:52:56.800Z",12.544,-87.797,86,4.9,"mb",NA,NA,NA,NA,"us","usp0000jeg","2014-11-06T23:21:37.224Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"214268","1976-07-08T10:36:58.000Z",11.085,-85.852,58,4.8,"mb",NA,NA,NA,NA,"us","usp0000h7s","2014-11-06T23:21:36.112Z","Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","Nicaragua"
"214320","1976-07-02T05:35:25.800Z",12.143,-86.645,148,4.9,"mb",NA,NA,NA,NA,"us","usp0000h5d","2014-11-06T23:21:36.053Z","Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","Nicaragua"
"214342","1976-06-30T02:19:51.100Z",11.475,-86.55,66,4.6,"mb",NA,NA,NA,NA,"us","usp0000h4f","2014-11-06T23:21:36.031Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"214632","1976-05-31T03:40:06.000Z",11.505,-87.305,47,4.9,"mb",NA,NA,NA,NA,"us","usp0000gnm","2014-11-06T23:21:35.500Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"214694","1976-05-24T10:54:53.400Z",11.507,-86.845,33,5.7,"ms",NA,NA,NA,NA,"us","usp0000ggu","2014-11-06T23:21:35.397Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"214724","1976-05-21T03:57:41.400Z",11.477,-87.279,39,4.9,"mb",NA,NA,NA,NA,"us","usp0000get","2014-11-06T23:21:35.351Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"215695","1976-01-27T21:06:59.500Z",11.258,-86.621,101,4.6,"mb",NA,NA,NA,NA,"us","usp0000ess","2014-11-06T23:21:33.745Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"216418","1975-12-02T05:40:11.900Z",11.612,-86.805,59,4.6,"mb",NA,NA,NA,NA,"us","usp0000dth","2014-11-06T23:21:32.863Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"217044","1975-09-14T15:19:30.900Z",11.11,-86.154,94,4.6,"mb",NA,NA,NA,NA,"us","usp0000ct8","2014-11-06T23:21:31.958Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"217074","1975-09-10T02:24:32.500Z",11.04,-85.506,31,4.8,"mb",NA,NA,NA,NA,"us","usp0000crr","2014-11-06T23:21:31.902Z","Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","Nicaragua"
"217742","1975-06-24T03:31:24.500Z",11.986,-86.236,157,4.7,"mb",NA,NA,NA,NA,"us","usp0000brb","2014-11-06T23:21:31.002Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"218015","1975-06-09T18:07:11.100Z",11.48,-87.807,33,4.6,"mb",NA,NA,NA,NA,"us","usp0000bcy","2014-11-06T23:21:30.581Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"218196","1975-05-22T12:51:11.900Z",12.713,-87.949,33,5,"mb",NA,NA,NA,NA,"us","usp0000b4e","2014-11-06T23:21:30.400Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"218873","1975-03-13T17:54:21.400Z",11.139,-86.855,61,4.9,"mb",NA,NA,NA,NA,"us","usp0000a7f","2014-11-06T23:21:29.339Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"218942","1975-03-05T17:25:43.600Z",12.255,-87.926,104,4.8,"mb",NA,NA,NA,NA,"us","usp0000a4g","2014-11-06T23:21:29.235Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"218963","1975-03-03T02:00:57.800Z",11.727,-86.949,187,4.5,"mb",NA,NA,NA,NA,"us","usp0000a3c","2014-11-06T23:21:29.198Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"219078","1975-02-14T23:57:08.100Z",11.691,-86.081,146,5,"mb",NA,NA,NA,NA,"us","usp00009xd","2014-11-06T23:21:28.877Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"219824","1974-11-14T09:45:02.100Z",11.879,-86.485,102,4.9,"mb",NA,NA,NA,NA,"us","usp00008sj","2014-11-06T23:21:27.402Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"220122","1974-10-07T17:10:36.200Z",11.579,-85.439,225,5.1,"mb",NA,NA,NA,NA,"us","usp00008ae","2014-11-06T23:21:26.727Z","Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","Nicaragua"
"220279","1974-09-18T21:43:23.100Z",11.514,-85.743,198,4.5,"mb",NA,NA,NA,NA,"us","usp000082u","2014-11-06T23:21:26.436Z","Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","Nicaragua"
"220422","1974-08-30T07:45:20.900Z",12.761,-87.381,62,4.9,"mb",NA,NA,NA,NA,"us","usp00007uv","2014-11-06T23:21:26.063Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"220610","1974-08-12T13:30:14.200Z",11.713,-86.903,83,4.9,"mb",NA,NA,NA,NA,"us","usp00007k5","2014-11-06T23:21:25.759Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"220819","1974-07-21T22:33:38.200Z",11.265,-86.083,87,5.2,"mb",NA,NA,NA,NA,"us","usp000078n","2014-11-06T23:21:25.345Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"220821","1974-07-21T21:41:58.100Z",11.108,-86.135,78,5,"mb",NA,NA,NA,NA,"us","usp000078k","2014-11-06T23:21:25.343Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"221393","1974-05-16T23:07:46.600Z",11.239,-86.046,36,5.6,"ms",NA,NA,NA,NA,"us","usp00006dj","2015-05-13T18:53:09.000Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"221550","1974-05-02T16:01:54.200Z",11.209,-86.12,180,4.5,"mb",NA,NA,NA,NA,"us","usp000066b","2014-11-06T23:21:24.037Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"221807","1974-03-31T21:13:45.800Z",11.802,-87.892,49,5,"mb",NA,NA,NA,NA,"us","usp00005tt","2014-11-06T23:21:23.540Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"221998","1974-03-06T01:40:26.400Z",12.289,-86.386,110,5.8,"mb",NA,NA,NA,NA,"us","usp00005h4","2015-07-13T17:02:24.000Z","Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","Nicaragua"
"223409","1973-09-19T23:42:48.600Z",12.667,-87.973,55,5,"mb",NA,NA,NA,NA,"us","usp00003fy","2014-11-06T23:21:20.297Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"223795","1973-07-28T20:48:24.700Z",12.333,-87.084,79,5.4,"mb",NA,NA,NA,NA,"us","usp00002wq","2014-11-06T23:21:16.981Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"223810","1973-07-27T19:42:47.900Z",12.813,-86.674,199,5.3,"mb",NA,NA,NA,NA,"us","usp00002w2","2015-07-13T17:02:24.000Z","Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","Nicaragua"
"223817","1973-07-27T08:51:11.000Z",12.415,-87.407,33,4.5,"mb",NA,NA,NA,NA,"us","usp00002vt","2014-11-06T23:21:16.547Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"223916","1973-07-14T07:55:08.100Z",11.637,-87.291,46,4.9,"mb",NA,NA,NA,NA,"us","usp00002qb","2014-11-06T23:21:14.818Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"224003","1973-07-06T05:21:49.100Z",11.962,-87.588,51,4.8,"mb",NA,NA,NA,NA,"us","usp00002k0","2014-11-06T23:21:14.157Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"224412","1973-05-28T06:19:00.100Z",11.474,-87.266,42,4.6,"mb",NA,NA,NA,NA,"us","usp00001yk","2014-11-06T23:21:12.908Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"224761","1973-04-09T03:17:48.900Z",12.267,-86.553,167,4.7,"mb",NA,NA,NA,NA,"us","usp00001ar","2014-11-06T23:21:11.051Z","Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","Nicaragua"
"225194","1973-02-15T00:15:53.700Z",11.534,-86.473,33,5.1,"mb",NA,NA,NA,NA,"us","usp00000hn","2014-11-06T23:21:08.997Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"225526","1972-12-23T06:29:44.000Z",12.184,-86.223,10,6.3,"mw",NA,NA,NA,NA,"iscgem","iscgem766571","2017-04-26T17:26:29.510Z","Nicaragua","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem","Nicaragua"
"226437","1970-08-12T10:24:28.000Z",12.022,-86.683,60,5.6,"mw",NA,NA,NA,NA,"iscgem","iscgem792813","2015-05-13T18:53:04.000Z","Nicaragua","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem","Nicaragua"
