"","time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource","country"
"220061","1974-10-13T21:29:52.200Z",34.68,87.218,33,5,"mb",NA,NA,NA,NA,"us","usp00008da","2014-11-06T23:21:26.829Z","western Xizang","earthquake",NA,NA,NA,NA,"reviewed","us","us","western Xizang"
"220212","1974-09-27T05:26:39.400Z",28.596,85.496,70,5.6,"mb",NA,NA,NA,NA,"us","usp0000861","2015-05-13T18:53:09.000Z","Xizang-Nepal border region","earthquake",NA,NA,NA,NA,"reviewed","us","us","Xizang-Nepal border region"
"220693","1974-08-03T04:08:13.800Z",35.449,80.639,20,5,"mb",NA,NA,NA,NA,"us","usp00007fd","2014-11-06T23:21:25.640Z","Xinjiang-Xizang border region","earthquake",NA,NA,NA,NA,"reviewed","us","us","Xinjiang-Xizang border region"
"220770","1974-07-27T10:03:13.000Z",30.296,94.888,33,4.7,"mb",NA,NA,NA,NA,"us","usp00007b4","2014-11-06T23:21:25.438Z","eastern Xizang","earthquake",NA,NA,NA,NA,"reviewed","us","us","eastern Xizang"
"221021","1974-07-02T16:25:53.300Z",35.579,80.908,33,4.7,"mb",NA,NA,NA,NA,"us","usp00006ze","2014-11-06T23:21:25.025Z","Xinjiang-Xizang border region","earthquake",NA,NA,NA,NA,"reviewed","us","us","Xinjiang-Xizang border region"
"221993","1974-03-06T17:36:21.200Z",32.294,85.73,33,4.7,"mb",NA,NA,NA,NA,"us","usp00005he","2014-11-06T23:21:23.245Z","western Xizang","earthquake",NA,NA,NA,NA,"reviewed","us","us","western Xizang"
"222015","1974-03-03T04:53:15.600Z",30.825,86.292,33,5.3,"mb",NA,NA,NA,NA,"us","usp00005fw","2015-05-13T18:53:09.000Z","western Xizang","earthquake",NA,NA,NA,NA,"reviewed","us","us","western Xizang"
"222644","1973-12-21T02:08:47.500Z",30.292,94.87,33,4.8,"mb",NA,NA,NA,NA,"us","usp00004kn","2014-11-06T23:21:21.917Z","eastern Xizang","earthquake",NA,NA,NA,NA,"reviewed","us","us","eastern Xizang"
"222831","1973-11-27T09:31:10.800Z",33.009,86.723,33,5,"mb",NA,NA,NA,NA,"us","usp00004am","2014-11-06T23:21:21.585Z","western Xizang","earthquake",NA,NA,NA,NA,"reviewed","us","us","western Xizang"
"222892","1973-11-21T19:47:56.300Z",34.657,80.968,26,5.2,"ms",NA,NA,NA,NA,"us","usp000047x","2014-11-06T23:21:21.497Z","western Xizang","earthquake",NA,NA,NA,NA,"reviewed","us","us","western Xizang"
