"","time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource","country"
"187113","1984-03-12T01:40:47.160Z",-57.152,147.26,10,4.9,"mb",NA,NA,NA,1.2,"us","usp00022k9","2014-11-07T00:34:37.768Z","west of Macquarie Island","earthquake",NA,NA,NA,1,"reviewed","us","us","west of Macquarie Island"
"187533","1984-01-27T17:38:46.310Z",-53.525,139.947,10,4.5,"mb",NA,NA,NA,1.4,"us","usp00021kp","2014-11-07T00:34:24.754Z","west of Macquarie Island","earthquake",NA,NA,NA,2,"reviewed","us","us","west of Macquarie Island"
"187543","1984-01-27T01:41:34.240Z",-56.694,147.688,10,5.4,"mw",NA,NA,NA,1.1,"us","usp00021k5","2016-11-09T21:45:34.858Z","west of Macquarie Island","earthquake",NA,NA,NA,NA,"reviewed","us","hrv","west of Macquarie Island"
"188609","1983-10-18T05:51:04.150Z",-56.697,146.527,10,5,"mb",NA,NA,NA,0.8,"us","usp0001z2p","2014-11-07T00:34:00.112Z","west of Macquarie Island","earthquake",NA,NA,NA,1,"reviewed","us","us","west of Macquarie Island"
"189235","1983-08-15T02:41:44.690Z",-52.999,140.179,10,4.9,"ms",NA,NA,NA,1,"us","usp0001xpg","2014-11-07T00:33:38.585Z","west of Macquarie Island","earthquake",NA,NA,NA,1,"reviewed","us","us","west of Macquarie Island"
"190026","1983-06-14T00:59:28.810Z",-53.574,140.744,10,5.2,"mb",NA,NA,NA,1.1,"us","usp0001w2y","2016-11-09T22:45:31.377Z","west of Macquarie Island","earthquake",NA,NA,NA,9,"reviewed","us","us","west of Macquarie Island"
"191842","1983-01-09T13:24:03.710Z",-56.902,147.557,10,5.3,"ms",NA,NA,NA,1.4,"us","usp0001s3u","2016-11-09T21:37:54.403Z","west of Macquarie Island","earthquake",NA,NA,NA,1,"reviewed","us","us","west of Macquarie Island"
"192078","1982-12-21T22:55:27.160Z",-58.819,148.954,10,5,"ms",NA,NA,NA,1.2,"us","usp0001rmu","2016-11-10T00:15:33.190Z","west of Macquarie Island","earthquake",NA,NA,NA,1,"reviewed","us","us","west of Macquarie Island"
"192645","1982-10-24T22:28:22.300Z",-53.657,140.991,10,5.2,"ms",NA,NA,NA,1.1,"us","usp0001qgg","2016-11-09T23:47:52.313Z","west of Macquarie Island","earthquake",NA,NA,NA,2,"reviewed","us","us","west of Macquarie Island"
"192969","1982-09-20T17:26:42.420Z",-54.442,143.515,10,5.5,"ms",NA,NA,NA,1.3,"us","usp0001pqp","2014-11-07T00:31:54.317Z","west of Macquarie Island","earthquake",NA,NA,NA,2,"reviewed","us","us","west of Macquarie Island"
"192973","1982-09-20T13:56:08.540Z",-54.355,143.865,10,5.8,"ms",NA,NA,NA,1.3,"us","usp0001pqj","2016-11-09T23:31:43.461Z","west of Macquarie Island","earthquake",NA,NA,NA,1,"reviewed","us","us","west of Macquarie Island"
