Year,Mo,Dy,Tsu,EQ,Name,Location,Country,Latitude,Longitude,Elevation,Type,VEI,Agent,Num,De,Num,De,$Mill,De,Num,De,,
1969,1,7,,,*,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,2,P,3,1,,,,,,,
1969,1,28,,,*,Iya,Lesser Sunda Is,Indonesia,-8.88,121.63,637,Stratovolcano,3,"T,m",2,1,10,1,,,287,2,
1969,3,21,Tsu,,*,Didicas,Luzon-N of,Philippines,19.077,122.202,244,Compound volcano,2,W,,,,,,,,,
1969,8,26,,,*,Narugo,Honshu-Japan,Japan,38.73,140.73,462,Caldera,,G,1,1,,,,,,,
1970,3,2,,,*,Campi Flegrei,Italy,Italy,40.827,14.139,458,Caldera,,S,3,1,,,,1,,1,
1970,5,5,,,*,Hekla,Iceland-S,Iceland,63.98,-19.7,1491,Stratovolcano,3,,,,,,,1,,,
1971,8,12,,,*,"Hudson, Cerro",Chile-S,Chile,-45.9,-72.97,1905,Stratovolcano,3,M,5,1,,,,,,,
1971,9,6,Tsu,,*,Tinakula,Santa Cruz Is-SW Pac,Solomon Is.,-10.38,165.8,851,Stratovolcano,2,,,,,,,,,,
1971,9,14,,,*,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,3,"M,T",10,1,,,,,,,
1971,10,26,,,*,La Palma,Canary Is,Spain,28.58,-17.83,2426,Stratovolcano,2,,,1,,,,1,,,
1971,10,29,,,*,Villarrica,Chile-C,Chile,-39.42,-71.93,2847,Stratovolcano,2,M,15,1,,,,,,,
1971,12,27,,,*,Kusatsu-Shirane,Honshu-Japan,Japan,36.62,138.55,2176,Stratovolcano,,G,6,1,,,,,,,
1972,6,9,,,*,"Fournaise, Piton de la",Indian O-W,Reunion,-21.229,55.713,2631,Shield volcano,2,I,3,1,,,,,,,
1972,10,2,,,*,Hakone,Honshu-Japan,Japan,35.22,139.02,1438,Complex volcano,,,2,1,,,,,,,
1972,10,9,Tsu,,*,Ritter Island,New Guinea-NE of,Papua New Guinea,-5.52,148.121,140,Stratovolcano,1,,,,,,,,,,
1973,1,27,,,*,Vestmannaeyjar,Iceland-S,Iceland,63.43,-20.28,279,Submarine volcano,3,G,1,1,,,,,,,
