"","time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource","country"
"112615","2001-05-29T14:15:54.940Z",39.845,41.959,33,4.7,"mb",171,NA,NA,1.01,"us","usp000afr7","2014-11-07T01:12:52.030Z","eastern Turkey","earthquake",NA,NA,NA,77,"reviewed","us","us","eastern Turkey"
"112616","2001-05-29T13:14:30.350Z",39.797,41.655,33,4.8,"mb",145,NA,NA,1.09,"us","usp000afr4","2017-04-26T17:59:00.204Z","eastern Turkey","earthquake",NA,NA,NA,71,"reviewed","us","us","eastern Turkey"
"113384","2001-03-22T14:02:25.320Z",40.657,33.093,33,4.5,"mb",94,NA,NA,1.34,"us","usp000abvb","2014-11-07T01:12:23.486Z","central Turkey","earthquake",NA,NA,NA,47,"reviewed","us","us","central Turkey"
"114189","2001-01-17T12:09:53.950Z",37.056,36.127,10,4.5,"mb",108,NA,NA,1.04,"us","usp000a7vs","2014-11-07T01:11:56.991Z","central Turkey","earthquake",NA,NA,NA,38,"reviewed","us","us","central Turkey"
"114487","2000-12-24T11:30:47.500Z",38.615,40.259,10,4.6,"mb",76,NA,NA,1.13,"us","usp000a6nf","2014-11-07T01:11:46.117Z","eastern Turkey","earthquake",NA,NA,NA,37,"reviewed","us","us","eastern Turkey"
"114607","2000-12-15T16:44:47.660Z",38.457,31.351,10,6,"mwc",174,NA,NA,1.24,"us","usp000a64f","2017-04-26T17:58:08.746Z","western Turkey","earthquake",NA,NA,NA,NA,"reviewed","us","hrv","western Turkey"
"114608","2000-12-15T16:44:43.440Z",38.541,31.207,10,5,"mb",161,NA,NA,1.26,"us","usp000a64e","2014-11-07T01:11:44.081Z","western Turkey","earthquake",NA,NA,NA,49,"reviewed","us","us","western Turkey"
"115205","2000-11-17T00:28:00.130Z",38.239,42.941,33,4.6,"mb",23,NA,NA,1.29,"us","usp000a410","2014-11-07T01:11:30.016Z","eastern Turkey","earthquake",NA,NA,NA,1,"reviewed","us","us","eastern Turkey"
"115345","2000-11-15T15:05:38.170Z",38.397,42.922,65.3,5.6,"mwb",292,NA,NA,1.08,"us","usp000a3p3","2017-04-26T17:57:57.715Z","eastern Turkey","earthquake",NA,NA,NA,NA,"reviewed","us","us","eastern Turkey"
"115836","2000-10-04T02:33:57.010Z",37.918,29.046,8.3,4.6,"mb",172,NA,NA,NA,"us","usp000a17n","2017-04-26T17:57:48.622Z","western Turkey","earthquake",NA,NA,NA,59,"reviewed","isk","us","western Turkey"
"116134","2000-09-08T05:46:47.010Z",39.363,27.703,10,4.5,"mb",85,NA,NA,1.02,"us","usp0009zw3","2014-11-07T01:11:03.432Z","western Turkey","earthquake",NA,NA,NA,28,"reviewed","us","us","western Turkey"
"116329","2000-08-23T13:41:28.140Z",40.68,30.72,15.3,5.3,"mwc",352,NA,NA,NA,"us","usp0009z1g","2017-04-26T17:57:40.570Z","western Turkey","earthquake",NA,NA,NA,NA,"reviewed","isk","hrv","western Turkey"
"116406","2000-08-17T11:49:50.380Z",40.723,33.887,33,4.8,"mb",9,NA,NA,1.16,"us","usp0009yn9","2014-11-07T01:10:52.423Z","central Turkey","earthquake",NA,NA,NA,3,"reviewed","us","us","central Turkey"
"117595","2000-06-09T03:14:19.580Z",40.689,32.925,10,4.6,"mb",139,NA,NA,1.05,"us","usp0009u9h","2014-11-07T01:10:20.538Z","central Turkey","earthquake",NA,NA,NA,49,"reviewed","us","us","central Turkey"
"117605","2000-06-08T21:27:58.650Z",40.724,32.936,36.4,4.5,"mb",100,NA,NA,1.21,"us","usp0009u8x","2014-11-07T01:10:20.420Z","central Turkey","earthquake",NA,5.6,NA,42,"reviewed","us","us","central Turkey"
"117679","2000-06-06T02:41:49.800Z",40.693,32.992,10,6,"mwc",418,NA,NA,1.04,"us","usp0009u3d","2017-04-26T17:57:11.952Z","central Turkey","earthquake",NA,NA,NA,NA,"reviewed","us","hrv","central Turkey"
"118019","2000-05-12T03:01:44.470Z",37.049,36.085,10,4.7,"mb",NA,NA,NA,1.06,"us","usp0009stv","2017-04-26T17:57:04.935Z","central Turkey","earthquake",NA,NA,NA,72,"reviewed","us","us","central Turkey"
